,exptid,id,sclass,t_train,t_eval,mse,mae,mape,smape
1,142,501012022,D,411.1516876782501,18.84289408499899,0.023151327260117625,0.11901248735119238,14.963263200219586,15.969416638270287
2,172,501011121,D,388.1785058057166,17.138138948001142,0.003122050304830441,0.02637438266368422,4.042116248934943,3.37513787603256
4,62,501017061,R,32.73021273776667,10.349602092999929,0.002955995446161586,0.03947094703187971,4.826815376025504,4.597362297708691
5,247,501016072,M,35.39025085045,1.6176840240000274,0.0013050133,0.018179765,2.3009182885289188,2.0908797159790997
6,101,500010122,D,425.58429205241663,18.560390822000045,0.0016280477657624947,0.02127120216801996,2.8016334822155167,2.7045442939896787
7,1,500010101,R,32.34337261793333,10.185313755999914,0.012187466777295763,0.0557657625963469,15.553390365753383,22.217000095596337
8,106,500011063,D,384.3285802209333,16.67348009700072,0.0010874908343687798,0.018824112874982937,2.2622782156379557,2.115430448468489
9,22,500011073,R,31.563931010399997,10.039317135999909,0.0006361740938675209,0.01727764183239882,2.050350507299798,2.0543093812419886
10,132,501010102,D,394.05972158356667,17.19746644100087,0.0029470169601679714,0.036350641818909145,5.574272880881399,5.464998302626955
11,45,501012071,R,36.58190109245,11.6725990609998,0.0005731006839751426,0.01667838570630962,2.2389355906496418,2.187170070414293
12,223,500014102,M,35.14898820883333,1.5986920159998592,0.009668293,0.053273447,19.59744542837143,12.90222704410553
13,185,501016102,D,413.65092104735,18.016299461000017,0.005469821802149935,0.03188909146315444,7.388991674257082,5.29545898331552
14,66,501010062,R,36.0481794248,11.271259265000026,0.007663525128187312,0.04613840246387594,8.784386123698619,7.993183687663971
15,72,501011091,R,32.75454716266667,10.650656649000213,0.0018821717416487801,0.029187208844665174,3.7175058204519087,3.701804274721933
16,71,501011041,R,32.611016905616665,10.352835798000118,0.0005855541886731066,0.018358592707639572,2.1442891653587792,2.1045389111450827
17,10,500014092,R,31.576652866233335,10.33367572599991,0.006017003261826819,0.05244540652021448,7.948020471187426,7.660534498358598
18,236,501011092,M,35.719114730399994,1.8196361820000675,0.001419375,0.025061253,3.1474024057388306,3.112018294632435
19,53,501016123,R,35.45569077838333,10.946356139999807,0.003324922629085294,0.02741828769136504,6.544607800693117,4.021515122006951
20,124,500014102,D,402.88085006793335,17.656484070001174,0.009146070843118572,0.05321940878068528,18.505935929288064,12.410512757577608
21,123,500014091,D,392.1030604933833,17.256502553002065,0.00970296364403187,0.0573198203300364,18.910238425515054,13.824125747786296
22,134,501010131,D,403.3690460904666,17.734893766002642,0.003987337158190897,0.029789143759027713,5.348382343060691,4.710744850335403
23,217,500011033,M,31.6598377382,1.4677518020000662,0.0035928239,0.0313608,4.91168610751629,4.1825439780950555
24,107,500011072,D,379.91126906775,16.683452823999687,0.00028456200866703804,0.010888107090267576,1.2804877834815425,1.2870176735817678
25,278,501012081,M,32.86069344711667,1.4430417649998617,0.003063459,0.02753699,5.548690631985664,3.6812968552112584
27,158,501017032,D,395.54341668895,17.144473450000078,0.0038474797106502257,0.041506163621884126,6.128264615292236,5.106142376488842
29,133,501010112,D,392.2796453878501,16.855337403001613,0.0024606589407929,0.01916028074086864,3.8679848147445983,3.0073233852048142
30,35,501010131,R,36.112361868949996,11.276629758000126,0.007589419799459975,0.03789248557710071,7.285575366723923,5.527878267004793
31,209,500014111,M,32.073488973766665,1.4975268630000755,0.0013266787,0.02845638,3.837875649333,3.7168797105550766
32,162,501010023,D,378.4594729558333,16.270165779002127,0.00036388176995154185,0.013170015418074305,1.641962380168367,1.6176782489267447
33,65,501010052,R,35.809894656016674,11.358026203999998,0.0030434115857112683,0.0294845984726917,3.69270413701305,3.4297400292690265
34,112,500014132,D,379.17958117008334,17.213969676002307,0.0031389815346202442,0.026500046865142672,4.228315576323638,3.3705085049959296
35,63,501010023,R,35.3552532786,11.15580255399982,0.0005056308787297118,0.015793761606607802,1.9618882743488717,1.9314718494648617
36,166,501010103,D,413.5861372763667,17.158365335999406,0.0011867491569735075,0.01783618714574339,2.6400573165550143,2.5172545230277983
